natx =      441
    x       y        z       iph  
     -2.43749      2.75250      7.21233   3      8.09539
      5.38503      5.80371     -1.78552   2      8.11601
      2.77697      0.09293     -7.63408   1      8.12400
     -3.51797      4.74977     -5.57812   3      8.12723
     -2.41132     -2.99187      7.18479   3      8.14782
     -7.81731     -2.32458     -0.01201   3      8.15562
     -7.55460      2.71867      1.71047   2      8.20907
      0.15453     -2.82545     -7.72047   1      8.22269
      0.12837      2.91893     -7.69293   1      8.22908
     -5.00761      6.29913      1.74219   2      8.23349
      2.87645      2.72909      7.22090   3      8.23792
      0.14533      5.97252     -5.67450   2      8.23966
     -3.84116      4.50954      5.72923   3      8.24103
     -0.42784      8.05193      1.77992   3      8.25740
     -7.52843     -3.02571      1.68293   2      8.28640
      6.84262     -4.26593     -1.93412   3      8.29219
      6.69395      4.39458     -2.23133   3      8.31265
      2.90262     -3.01529      7.19336   3      8.32236
      4.47119      4.11734     -5.74799   3      8.36561
     -3.88161     -7.04733     -2.30355   3      8.36888
     -2.45912      2.68100     -7.61061   3      8.43543
     -3.83759      7.26965     -1.89617   3      8.43625
      5.28780     -5.40187     -3.79718   3      8.45929
      5.24649     -5.68429      3.43161   3      8.46243
     -2.47721     -8.09237     -0.03099   3      8.46310
     -5.34008     -5.35504     -3.81431   3      8.47006
      8.12451     -2.39483      0.01369   3      8.47013
     -5.38139     -5.63745      3.41448   3      8.50875
     -7.89239     -2.67194     -1.83460   2      8.53199
      5.19416      5.80446      3.48670   3      8.53394
      2.85481      2.65758     -7.60205   3      8.54423
     -7.84348      3.41979      0.01553   3      8.55660
     -6.13053     -1.58020     -5.79267   3      8.58111
     -2.43296     -3.06337     -7.63816   3      8.58167
      5.62027      6.25230      1.75932   2      8.58917
      2.83673     -8.11579     -0.02242   3      8.59730
     -8.44475      1.02571      1.72621   3      8.68019
     -7.91855      3.07244     -1.80706   2      8.68382
     -7.85984      0.23539     -3.69394   1      8.68779
      8.04943     -2.74219     -1.80890   2      8.69397
     -5.43372      5.85130      3.46956   3      8.70637
      2.88098     -3.08679     -7.62959   3      8.72003
      8.02327      3.00218     -1.78136   2      8.74981
      8.09835      3.34954      0.04123   3      8.76381
